country,continent,deaths_100k_people_year,deaths_100k_vechicles_year,deaths_1b_km ,total_deaths,who_report_year
Afghanistan,Asia,15.5,722.4,,4734,2013
Albania,Europe,15.1,107.2,,478,2016
Algeria,Africa,23.8,127.8,,9337,2013
Andorra,Europe,7.6,7.9,,6,2013
Angola,Africa,26.9,992,,5769,2013
Antigua and Barbuda,North America,6.7,20,,6,2013
Argentina,South America,13.6,24.3,,5619,2013
Armenia,Europe,18.3,18.2,,546,2016
Australia,Oceania,4.5,7.4,5.2,1131,2018[9]
Austria,Europe,5.4,6.1,5.1,455,2016
Azerbaijan,Europe,10,70.9,,943,2016
Bahamas,North America,13.8,36,,52,2013
Bahrain,Asia,5.2,14.3,,78,2017[nb 2][10]
Bangladesh,Asia,13.6,1020.6,,21316,2013
Barbados,North America,6.7,16.9,,19,2013
Belarus,Europe,13.7,32.9,,1282,2016
Belgium,Europe,5.4,9,7.3,657,2019[11]
Belize,North America,24.4,26,,81,2013
Benin,Africa,27.5,635.6,,2986,2016
Bhutan,Asia,15.1,167.2,,114,2013
Bolivia,South America,23.2,205.2,,3476,2013
Bosnia and Herzegovina,Europe,17.7,76.7,,676,2016
Botswana,Africa,23.6,91.6,,477,2013
Brazil,South America,23.4,57.5,,46935,2013
Bulgaria,Europe,9,17.2,,601,2019[11]
Burkina Faso,Africa,30,328.1,,5072,2013
Cambodia,Asia,17.4,107.2,,2635,2013
Cameroon,Africa,27.6,1385.1,,6136,2013
Canada,North America,5.8,8.9,5.1,2118,2016
Cape Verde,Africa,26.1,229,,130,2013
Central African Rep.,Africa,33.6,4484.4,,1546,2016
Chad,Africa,24.1,497,,3089,2013
Chile,South America,12.4,51.1,,2179,2013
China,Asia,18.8,104.5,,261367,2016
Colombia,South America,16.8,83.3,,8107,2013
Congo,Africa,26.4,1063,,1174,2013
Cook Islands,Oceania,24.2,40.2,,5,2013
Costa Rica,North America,13.9,38.4,,676,2013
Croatia,Europe,7.3,21.1,,340,2019
Cuba,North America,7.5,133.7,,840,2013
Cyprus,Europe,5.9,9.2,,60,2019
Czechia,Europe,5.8,8.6,11.5,630,2019
Dem. Rep. Congo,Africa,33.7,,,26529,2016
Denmark,Europe,3.4,7.2,3.9,227,2019
Djibouti,Africa,24.7,,,216,2013
Dominica,North America,15.3,44.7,,11,2013
Dominican Rep.,North America,29.3,94.9,,3052,2013
Ecuador,South America,20.1,183.8,,3164,2013
Egypt,Africa,12.8,148.7,,10466,2013
El Salvador,North America,21.1,163.7,,1339,2013
Eritrea,Africa,24.1,2171.5,,1527,2013
Estonia,Europe,7,12.8,,90,2016
Ethiopia,Africa,26.7,385.7,,27326,2016
Fiji,Oceania,5.8,58.9,,51,2013
Finland,Europe,3.8,5,5.1,260,2019
France,Europe,5,8.4,5.8,3585,2019
Gabon,Africa,22.9,196.4,,383,2013
Gambia,Africa,29.4,998.7,,544,2013
Georgia,Europe,11.8,32.6,,449,2021
Germany,Europe,3.7,6.4,4.2,3327,2019
Ghana,Africa,26.2,443.1,,6789,2013
Greece,Europe,6.5,12.8,,699,2019
Guatemala,North America,19,114.7,,2939,2013
Guinea,Africa,28.2,1343.7,,3490,2016
Guinea-Bissau,Africa,27.5,751.9,,468,2013
Guyana,South America,17.3,864.4,,138,2013
Honduras,North America,17.4,1021.7,,1408,2013
