country,NObs
RUS,17.9
BOL,26.0
NLD,19.0
LAO,4.0
CHE,6.0
MAR,4.0
PRT,15.0
ETH,6.0
HUN,21.0
IRN,12.4
ARE,8.0
AUT,14.0
BIH,12.0
UZB,10.0
Albania,4.0
IDN,24.4
MEX,36.0
SRB,2.0
ROU,19.0
SWE,20.0
EST,20.0
ESP,28.0
USA,36.0
KGZ,9.0
URY,3.0
CZE,20.0
AZE,10.0
TUR,30.6
PRY,9.0
COL,31.8
CHL,27.5
IRL,18.8
BLR,5.0
GTM,4.0
BRA,27.9
SVN,15.0
THA,17.8
ECU,12.7
KEN,21.0
BEL,25.0
DEU,19.5
POL,19.0
LVA,9.8
VNM,12.4
GBR,23.0
PER,29.0
FRA,29.8
HND,12.8
CHN,36.0
GRC,22.0
JPN,34.0
GEO,8.0
CAN,28.0
EGY,2.7
ITA,28.0
IND,31.3
KAZ,16.0
FIN,37.0
PAN,14.0
SVK,19.0
PAK,25.0
ARG,15.2
AUS,30.0
KOR,28.7
HRV,14.0
DNK,22.0
BGR,14.0
MYS,10.0
MNG,15.0
MOZ,9.0
TZA,12.9
LTU,13.0
NOR,17.0
ZAF,17.0
NZL,12.0
UKR,19.0
